id,address,address_type,street,street_type,street_dir,x,y,report_date,time_start,time_end,crime_type_id,arrested,l1_code
1,,,,, ,0,0,2022-04-24 00:00:00.000000,1030,1100,1,FALSE,From Motor Vehicle
2,,,,, ,0,0,2022-04-05 00:00:00.000000,53,53,1,TRUE,
3,,,,, ,0,0,2022-07-26 00:00:00.000000,114,114,2,FALSE,Motor Vehicle
4,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-05 00:00:00.000000,1745,1755,1,FALSE,All Other
5,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-07-17 00:00:00.000000,1248,1248,1,TRUE,Shoplifting
6,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-07-17 00:00:00.000000,1659,1659,3,TRUE,Shoplifting
7,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-22 00:00:00.000000,1525,1526,1,FALSE,All Other
8,BUTTERNUT ST & N TOWNSEND ST,StreetInt,,, ,936025.3962,1114728.718,2022-02-28 00:00:00.000000,2121,2121,1,TRUE,
9,CANAL ST & TEALL AVE,StreetInt,,, ,943559.0005,1112525.214,2022-02-25 00:00:00.000000,1359,1029,1,FALSE,From Motor Vehicle
10,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-06 00:00:00.000000,726,726,3,TRUE,
11,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-05 00:00:00.000000,926,926,1,FALSE,
12,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-05 00:00:00.000000,1850,1850,1,FALSE,All Other
13,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-06 00:00:00.000000,1124,1124,3,FALSE,
14,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-21 00:00:00.000000,1935,1935,1,TRUE,Shoplifting
15,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-10 00:00:00.000000,1222,1222,1,TRUE,Shoplifting
16,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-21 00:00:00.000000,1812,1812,1,TRUE,Shoplifting
17,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-11 00:00:00.000000,1241,1241,1,TRUE,Shoplifting
18,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-09 00:00:00.000000,1426,1426,1,TRUE,Shoplifting
19,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-17 00:00:00.000000,1700,1700,1,TRUE,Shoplifting
20,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-08 00:00:00.000000,1959,1959,1,FALSE,Shoplifting
21,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-14 00:00:00.000000,1349,1349,3,TRUE,All Other
22,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-10 00:00:00.000000,1610,1610,1,TRUE,Shoplifting
23,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-02-05 00:00:00.000000,1230,1530,1,FALSE,From Motor Vehicle
24,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-07 00:00:00.000000,1754,1754,1,TRUE,All Other
25,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-11 00:00:00.000000,1900,1900,1,TRUE,Shoplifting
26,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-03-01 00:00:00.000000,1447,1447,1,FALSE,From Motor Vehicle
27,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-07-25 00:00:00.000000,1802,1802,1,FALSE,Shoplifting
28,"1 DESTINY USA, 13204",PointAddress,DESTINY USA,, ,929661.2488,1118108.17,2022-02-08 00:00:00.000000,1537,1537,1,TRUE,Shoplifting
